Thread_id,Thread_index,Index,Word,Label
37357879,1,99,ทับสะแก จังหวัดประจวบคีรีขันธ์,LOCATION
37357879,1,129,ฟิวเจอร์พาร์ครังสิต,LOCATION
37357879,1,138,ชะอำ,LOCATION
37357879,1,142,อ่าวมะนาว,LOCATION
37357879,1,993,เมืองไทย,LOCATION
37271619,2,15,หมู่บ้านท่าระแนะ ตำบลหนองคันทรง อ.เมือง จ.ตราด,LOCATION
37271619,2,71,ตราด,LOCATION
37271619,2,123,ตราด,LOCATION
37271619,2,128,เกาะช้าง,LOCATION
37271619,2,156,เมืองตราด,LOCATION
37271619,2,207,เมืองตราด,LOCATION
37271619,2,267,หมู่บ้านท่าระแนะ,LOCATION
37271619,2,473,เมืองไทย,LOCATION
37271619,2,489,ตราด,LOCATION
37271619,2,574,ชุมชนบ้านท่าระแนะ,LOCATION
37271619,2,600,จังหวัดตราด,LOCATION
37271619,2,727,ลานตะบูน,LOCATION
37271619,2,755,ลานตะบูน,LOCATION
37271619,2,809,ลานตะบูน,LOCATION
37271619,2,938,บ้านท่าระแนะ,LOCATION
37271619,2,1294,ท่าระแนะ,LOCATION
37271619,2,1365,ลานตะบูน,LOCATION
37271619,2,1503,เมืองตราด,LOCATION
37271619,2,1512,ตำบลท่าระแนะ,LOCATION
37271619,2,1713,ลานตะบูน,LOCATION
37271619,2,1717,บ้านท่าระแนะ,LOCATION
37271619,2,1816,ลานตะบูนนนนนน,LOCATION
37271619,2,1883,ลานตะบูน,LOCATION
37271619,2,1950,ลานตะบูน,LOCATION
37271619,2,1963,เมืองไทย,LOCATION
37271619,2,2060,ลานตะบูน,LOCATION
37271619,2,2154,ตราด,LOCATION
37271619,2,2219,จังหวัดตราด,LOCATION
37271619,2,2223,ท่าระแนะ,LOCATION
37271619,2,2347,ตำบลหนองคันทรง,LOCATION
37271619,2,2510,วัดหนองคันทรง,LOCATION
37271619,2,2541,กรุงเทพ,LOCATION
37271619,2,2647,ตำบลหนองคันทรง,LOCATION
37271619,2,2794,เมืองตราด,LOCATION
37271619,2,3170,เมืองตราด,LOCATION
37271619,2,3222,เมืองตราด,LOCATION
37271619,2,3280,เมืองตราด,LOCATION
37271619,2,3303,ตราด,LOCATION
37271619,2,3313,เมืองตราด,LOCATION
37271619,2,3332,ชลบุรี,LOCATION
37271619,2,3334,ระยอง,LOCATION
37271619,2,3336,จันทบุรี,LOCATION
37271619,2,3346,เมืองตราด,LOCATION
37271619,2,3382,ตราด,LOCATION
37271619,2,3406,เมืองตราด,LOCATION
37284754,3,51,จังหวัดเชียงราย,LOCATION
37284754,3,97,เชียงราย,LOCATION
37284754,3,120,สนามบินสุวรรณภูมิ,LOCATION
37284754,3,124,สนามบินแม่ฟ้าหลวง เชียงราย,LOCATION
37284754,3,222,สนามบินแม่ฟ้าหลวง เชียงราย,LOCATION
37284754,3,347,เชียงราย,LOCATION
37284754,3,350,หอนาฬิกา,LOCATION
37284754,3,361,เชียงราย,LOCATION
37284754,3,785,สวนตุงและโคมนครเชียงราย เทศบาลนครเชียงราย,LOCATION
37284754,3,1069,อ.แม่ลาว,LOCATION
37284754,3,1602,วัดร่องเสือเต้น,LOCATION
37284754,3,1637,วัดร่องขุ่น,LOCATION
37284754,3,1753,วัดห้วยปลากั้ง,LOCATION
37284754,3,1761,วัดห้วยปลากั้ง,LOCATION
37284754,3,1770,สวัสดีเชียงราย Cat Cafe,LOCATION
37284754,3,2006,ดอยตุง,LOCATION
37284754,3,2016,วัดพระธาตุดอยตุง,LOCATION
37284754,3,2042,แม่สาย,LOCATION
37284754,3,2116,วัดพระธาตุดอยตุง,LOCATION
37284754,3,2167,หอนาฬิกา,LOCATION
37284754,3,2367,สนามบินเชียงใหม่,LOCATION
