Thread_id,Thread_index,Index,Word,Label
37357879,1,99,ทับสะแก จังหวัดประจวบคีรีขันธ์,LOCATION
37357879,1,129,ฟิวเจอร์พาร์ครังสิต,LOCATION
37357879,1,138,ชะอำ,LOCATION
37357879,1,142,อ่าวมะนาว,LOCATION
37357879,1,993,เมืองไทย,LOCATION
37271619,2,15,หมู่บ้านท่าระแนะ ตำบลหนองคันทรง อ.เมือง จ.ตราด,LOCATION
37271619,2,71,ตราด,LOCATION
37271619,2,123,ตราด,LOCATION
37271619,2,128,เกาะช้าง,LOCATION
37271619,2,156,เมืองตราด,LOCATION
37271619,2,207,เมืองตราด,LOCATION
37271619,2,267,หมู่บ้านท่าระแนะ,LOCATION
37271619,2,398,ท่าระแนะ,LOCATION
37271619,2,489,ตราด,LOCATION
37271619,2,574,ชุมชนบ้านท่าระแนะ,LOCATION
37271619,2,600,จังหวัดตราด,LOCATION
37271619,2,727,ลานตะบูน,LOCATION
37271619,2,755,ลานตะบูน,LOCATION
37271619,2,809,ลานตะบูน,LOCATION
37271619,2,938,บ้านท่าระแนะ,LOCATION
37271619,2,1365,ลานตะบูน,LOCATION
37271619,2,1503,เมืองตราด,LOCATION
37271619,2,1512,ตำบลท่าระแนะ,LOCATION
37271619,2,1713,ลานตะบูน ที่บ้านท่าระแนะ,LOCATION
37271619,2,1816,ลานตะบูนนนนนน,LOCATION
37271619,2,1883,ลานตะบูน,LOCATION
37271619,2,1950,ลานตะบูน,LOCATION
37271619,2,2060,ลานตะบูน,LOCATION
37271619,2,2154,ตราด,LOCATION
37271619,2,2219,จังหวัดตราด,LOCATION
37271619,2,2223,ท่าระแนะ,LOCATION
37271619,2,2347,ตำบลหนองคันทรง,LOCATION
37271619,2,2423,วัดหนองคันทรง,LOCATION
37271619,2,2511,วัดหนองคันทรง,LOCATION
37271619,2,2648,ตำบลหนองคันทรง,LOCATION
37271619,2,3171,เมืองตราด,LOCATION
37271619,2,3223,เมืองตราด,LOCATION
37271619,2,3281,เมืองตราด,LOCATION
37271619,2,3304,ตราด,LOCATION
37271619,2,3314,เมืองตราดมัน,LOCATION
37271619,2,3333,ชลบุรี,LOCATION
37271619,2,3335,ระยอง,LOCATION
37271619,2,3337,จันทบุรี,LOCATION
37271619,2,3347,เมืองตราด,LOCATION
37271619,2,3383,ตราด,LOCATION
37284754,3,51,จังหวัดเชียงราย,LOCATION
37284754,3,97,เชียงราย,LOCATION
37284754,3,120,สนามบินสุวรรณภูมิ,LOCATION
37284754,3,124,สนามบินแม่ฟ้าหลวง เชียงราย,LOCATION
37284754,3,222,สนามบินแม่ฟ้าหลวง เชียงราย,LOCATION
37284754,3,347,เมืองเชียงราย,LOCATION
37284754,3,351,หอนาฬิกา,LOCATION
37284754,3,362,เชียงราย,LOCATION
37284754,3,787,สวนตุงและโคมนครเชียงราย เทศบาลนครเชียงราย,LOCATION
37284754,3,1071,อ.แม่ลาว,LOCATION
37284754,3,1323,วัดร่องขุ่น,LOCATION
37284754,3,1605,วัดร่องเสือเต้น,LOCATION
37284754,3,1640,วัดร่องขุ่น,LOCATION
37284754,3,1756,วัดห้วยปลากั้ง,LOCATION
37284754,3,1761,เจ้าแม่กวนอิม วัดห้วยปลากั้ง,LOCATION
37284754,3,1773,สวัสดีเชียงราย Cat Cafe,LOCATION
37284754,3,2009,ดอยตุง,LOCATION
37284754,3,2019,วัดพระธาตุดอยตุง,LOCATION
37284754,3,2045,แม่สาย,LOCATION
37284754,3,2119,วัดพระธาตุดอยตุง,LOCATION
37284754,3,2170,หอนาฬิกา,LOCATION
37284754,3,2370,สนามบินเชียงใหม่,LOCATION
37284754,3,2453,กรุงเทพฯ,LOCATION
37284754,3,2508,สนามบินสุวรรณภูมิ,LOCATION
